"","result_cv_platt","intervalo_inf","intervalo_sup"
"1",0.951939041088734,0.946733290096707,0.957144792080761
"2",0.878364522468428,0.873158771476401,0.883570273460455
"3",0.987127564245053,0.981921813253026,0.99233331523708
"4",0.988387382644868,0.983181631652841,0.993593133636895
"5",0.962086448970371,0.956880697978344,0.967292199962398
"6",0.990115287394406,0.984909536402379,0.995321038386433
"7",0.990369843838911,0.985164092846884,0.995575594830938
"8",0.98483263400888,0.979626883016853,0.990038385000907
"9",0.834770162918271,0.829564411926244,0.839975913910299
"10",0.981485001729059,0.976279250737032,0.986690752721086
"11",0.871933744857286,0.866727993865259,0.877139495849313
"12",0.559661468311824,0.554455717319796,0.564867219303851
"13",0.990925702487533,0.985719951495506,0.99613145347956
"14",0.837855604947722,0.832649853955695,0.843061355939749
"15",0.928308244525383,0.923102493533356,0.93351399551741
"16",0.985879556825916,0.980673805833889,0.991085307817943
"17",0.694868398389067,0.689662647397039,0.700074149381094
"18",0.986328274888749,0.981122523896722,0.991534025880776
"19",0.984120360819122,0.978914609827095,0.989326111811149
"20",0.991516889177549,0.986311138185521,0.996722640169576
"21",0.991434273411891,0.986228522419864,0.996640024403918
"22",0.725994101034496,0.720788350042469,0.731199852026523
"23",0.414925396873436,0.409719645881409,0.420131147865463
"24",0.980987897868524,0.975782146876497,0.986193648860552
"25",0.988464367210892,0.983258616218865,0.993670118202919
"26",0.991257873401197,0.98605212240917,0.996463624393224
"27",0.991026540504,0.985820789511972,0.996232291496027
"28",0.576422411060628,0.571216660068601,0.581628162052656
"29",0.611965601488519,0.606759850496492,0.617171352480546
"30",0.973403962143533,0.968198211151506,0.97860971313556
"31",0.700949439162491,0.695743688170464,0.706155190154518
"32",0.949760597226185,0.944554846234158,0.954966348218213
"33",0.988748720675493,0.983542969683466,0.99395447166752
"34",0.98163993381634,0.976434182824312,0.986845684808367
"35",0.804447251474978,0.799241500482951,0.809653002467005
"36",0.698620535368263,0.693414784376236,0.70382628636029
"37",0.990036386820307,0.98483063582828,0.995242137812334
"38",0.984764752160605,0.979559001168578,0.989970503152632
"39",0.988464367210892,0.983258616218865,0.993670118202919
"40",0.518184844884679,0.512979093892652,0.523390595876707
"41",0.371849220935242,0.366643469943215,0.377054971927269
"42",0.789161319403713,0.783955568411686,0.79436707039574
"43",0.98986103099048,0.984655279998453,0.995066781982507
"44",0.991103421101062,0.985897670109035,0.996309172093089
"45",0.928562792888261,0.923357041896234,0.933768543880288
"46",0.546591640266871,0.541385889274844,0.551797391258898
"47",0.367097148758226,0.361891397766199,0.372302899750253
"48",0.990496508250032,0.985290757258005,0.99570225924206
"49",0.945905185647808,0.940699434655781,0.951110936639835
"50",0.984086710704639,0.978880959712612,0.989292461696666
"51",0.936986486004265,0.931780735012238,0.942192236996292
"52",0.976945209298956,0.971739458306929,0.982150960290983
"53",0.970747612174481,0.965541861182454,0.975953363166508
"54",0.990915478514501,0.985709727522474,0.996121229506528
"55",0.922777908405123,0.917572157413096,0.92798365939715
"56",0.977405787883517,0.972200036891489,0.982611538875544
"57",0.574318233377911,0.569112482385884,0.579523984369938
"58",0.744376136316069,0.739170385324042,0.749581887308096
"59",0.499396725429246,0.494190974437219,0.504602476421273
"60",0.990163939160323,0.984958188168296,0.99536969015235
"61",0.989817330190307,0.98461157919828,0.995023081182334
"62",0.982785681811469,0.977579930819442,0.987991432803496
"63",0.978016924885451,0.972811173893423,0.983222675877478
"64",0.744084609623934,0.738878858631906,0.749290360615961
"65",0.373812435174672,0.368606684182645,0.379018186166699
"66",0.590638094019301,0.585432343027274,0.595843845011328
"67",0.991026540504,0.985820789511972,0.996232291496027
"68",0.986242142086829,0.981036391094802,0.991447893078857
"69",0.890388502822904,0.885182751830877,0.895594253814931
"70",0.962036651003142,0.956830900011114,0.967242401995169
"71",0.989551329268321,0.984345578276294,0.994757080260348
"72",0.991079076224596,0.985873325232568,0.996284827216623
"73",0.515593445413578,0.510387694421551,0.520799196405606
"74",0.839611050788535,0.834405299796507,0.844816801780562
"75",0.980289022289753,0.975083271297726,0.98549477328178
"76",0.463924888549451,0.458719137557424,0.469130639541478
"77",0.991273409678276,0.986067658686248,0.996479160670303
"78",0.565899472595639,0.560693721603612,0.571105223587666
"79",0.967300868417536,0.962095117425509,0.972506619409564
"80",0.981588641683815,0.976382890691788,0.986794392675842
"81",0.983221959862325,0.978016208870298,0.988427710854352
"82",0.990662139723929,0.985456388731901,0.995867890715956
"83",0.991399660832105,0.986193909840078,0.996605411824132
"84",0.985031874658732,0.979826123666704,0.990237625650759
"85",0.978667592569949,0.973461841577922,0.983873343561976
"86",0.905421667776771,0.900215916784744,0.910627418768798
"87",0.990269362861791,0.985063611869764,0.995475113853818
"88",0.96274627552819,0.957540524536163,0.967952026520217
"89",0.932633883627755,0.927428132635728,0.937839634619783
"90",0.740850399612789,0.735644648620762,0.746056150604817
"91",0.988239196835207,0.98303344584318,0.993444947827234
"92",0.984393029630095,0.979187278638068,0.989598780622122
"93",0.988817116335226,0.983611365343198,0.994022867327253
"94",0.99099712294394,0.985791371951913,0.996202873935967
"95",0.900508777744154,0.895303026752127,0.905714528736181
"96",0.969158082964671,0.963952331972644,0.974363833956698
"97",0.99099712294394,0.985791371951913,0.996202873935967
"98",0.9907274841305,0.985521733138473,0.995933235122527
"99",0.427077753059023,0.421872002066995,0.43228350405105
"100",0.983578429738624,0.978372678746597,0.988784180730651
"101",0.990825874208732,0.985620123216705,0.99603162520076
"102",0.989730630245137,0.98452487925311,0.994936381237165
